	Faction	Health Type	Armor Type	Shield Type	Base Level	Health	Armor	Shield	Weak Point	Where
Juggernaut Behemoth	Infested	Infested	Ferrite Armor	None	1	4500	300	0	?	Boss
Mutalist Alad V	Infested	Flesh	Ferrite Armor	Proto Shield	1	2500	500	1200	?	Boss
Attack Mutalist	Infested	Infested Flesh	None	None	1	65	0	0	?	Archwing
Mutalist Lightning Carrier	Infested	Infested Flesh	None	None	1	65	0	0	?	Archwing
Mutalist Toxic Carrier	Infested	Infested Flesh	None	None	1	65	0	0	?	Archwing
Corrupted Butcher	Corrupted	Cloned Flesh	Ferrite Armor	None	1	100	5	0	2	Land
Corrupted Bombard	Corrupted	Cloned Flesh	Alloy Armor	None	4	300	500	0	?	Land
Corrupted Heavy Gunner	Corrupted	Cloned Flesh	Ferrite Armor	None	8	700	500	0	2	Land
Corrupted Lancer	Corrupted	Cloned Flesh	Alloy Armor	None	1	60	200	0	2	Land
Corrupted Drone	Corrupted	Robotic	None	Shield	1	250	0	75	?	Land
Corrupted Crewman	Corrupted	Flesh	None	Shield	1	60	0	150	2	Land
Corrupted MOA	Corrupted	Robotic	None	Shield	1	250	0	250	2	Land
Corrupted Nullifier	Corrupted	Flesh	None	Proto Shield	15	60	0	150	2	Land
Corrupted Ancient	Corrupted	Fossilized	None	None	1	400	0	0	3	Land
Orokin Drone	Corrupted	Robotic	None	Shield	1	35	0	50	?	Land
Orokin Spectator	Corrupted	Robotic	None	Shield	1	300	0	50	?	Land
Orokin Turret	Corrupted	Robotic	None	Shield	1	50	0	50	?	Land
Corrupted Vor	Corrupted	Cloned Flesh	Alloy Armor	Shield	1	1500	250	1500	?	Boss
